#: table_doi: 10.17182/hepdata.54900.v1/t59
#: name: Table 59
#: description: Charged particle multiplicities at c.m. energy 91.2 GeV for all flavour, light quark (udsc) and bottom (b) flavour events.

#: data_file: Table59.yaml
#: keyword reactions: E+ E- --> CHARGED X
#: keyword observables: MULT
#: keyword plabs: 4.560E+01,4.560E+01
#: keyword phrases: Inclusive | E+ E- Scattering
#: keyword cmenergies: 91.2
#: EVENT TYPE,ALL FLAVOURS
#: RE,E+ E- --> CHARGED X
#: SQRT(S) [GeV],91.2,,,,
MULT(P=3),PROB,stat +,stat -,sys +,sys -
2.0,1.8e-05,3e-06,-3e-06,9e-06,-9e-06
4.0,0.000268,1e-05,-1e-05,5.1e-05,-5.1e-05
6.0,0.002054,2.8e-05,-2.8e-05,0.000104,-0.000104
8.0,0.009328,6.3e-05,-6.3e-05,0.000368,-0.000368
10.0,0.027621,0.000108,-0.000108,0.000755,-0.000755
12.0,0.058426,0.00015,-0.00015,0.001115,-0.001115
14.0,0.093836,0.000173,-0.000173,0.001263,-0.001263
16.0,0.121719,0.000176,-0.000176,0.001274,-0.001274
18.0,0.133779,0.000168,-0.000168,0.000978,-0.000978
20.0,0.129539,0.000158,-0.000158,0.000883,-0.000883
22.0,0.113598,0.000148,-0.000148,0.000419,-0.000419
24.0,0.092586,0.000138,-0.000138,0.000639,-0.000639
26.0,0.070832,0.000125,-0.000125,0.000804,-0.000804
28.0,0.051225,0.000109,-0.000109,0.000998,-0.000998
30.0,0.03549,9.3e-05,-9.3e-05,0.000908,-0.000908
32.0,0.023541,7.6e-05,-7.6e-05,0.000822,-0.000822
34.0,0.014928,6.1e-05,-6.1e-05,0.000634,-0.000634
36.0,0.00919,4.7e-05,-4.7e-05,0.000461,-0.000461
38.0,0.005395,3.6e-05,-3.6e-05,0.000306,-0.000306
40.0,0.003119,2.7e-05,-2.7e-05,0.000221,-0.000221
42.0,0.001735,2e-05,-2e-05,0.000146,-0.000146
44.0,0.000903,1.4e-05,-1.4e-05,9e-05,-9e-05
46.0,0.000452,1e-05,-1e-05,5.6e-05,-5.6e-05
48.0,0.000228,7e-06,-7e-06,3.5e-05,-3.5e-05
50.0,0.000102,4e-06,-4e-06,1.8e-05,-1.8e-05
52.0,5.1e-05,3e-06,-3e-06,1.3e-05,-1.3e-05
54.0,2.3e-05,3e-06,-3e-06,1e-05,-1e-05
56.0,1.3e-05,3e-06,-3e-06,7e-06,-7e-06

#: EVENT TYPE,USDC FLAVOUR
#: RE,E+ E- --> CHARGED X
#: SQRT(S) [GeV],91.2,,,,
MULT(P=3),PROB,stat +,stat -,sys +,sys -
2.0,2.1e-05,4e-06,-4e-06,2e-06,-2e-06
4.0,0.000331,1.4e-05,-1.4e-05,2.7e-05,-2.7e-05
6.0,0.002582,4.1e-05,-4.1e-05,0.000192,-0.000192
8.0,0.011335,8.7e-05,-8.7e-05,0.000725,-0.000725
10.0,0.032821,0.000148,-0.000148,0.001766,-0.001766
12.0,0.066995,0.000199,-0.000199,0.002907,-0.002907
14.0,0.104305,0.000226,-0.000226,0.003396,-0.003396
16.0,0.130215,0.000225,-0.000225,0.002797,-0.002797
18.0,0.137874,0.000213,-0.000213,0.001607,-0.001607
20.0,0.128385,0.000199,-0.000199,0.000913,-0.000913
22.0,0.109303,0.000187,-0.000187,0.001652,-0.001652
24.0,0.086274,0.000171,-0.000171,0.001992,-0.001992
26.0,0.064172,0.000152,-0.000152,0.002125,-0.002125
28.0,0.045495,0.000132,-0.000132,0.001995,-0.001995
30.0,0.03075,0.00011,-0.00011,0.001792,-0.001792
32.0,0.019974,8.9e-05,-8.9e-05,0.00143,-0.00143
34.0,0.012434,7e-05,-7e-05,0.001128,-0.001128
36.0,0.00741,5.4e-05,-5.4e-05,0.000808,-0.000808
38.0,0.004343,4.1e-05,-4.1e-05,0.000551,-0.000551
40.0,0.002433,3.1e-05,-3.1e-05,0.000355,-0.000355
42.0,0.001284,2.1e-05,-2.1e-05,0.000237,-0.000237
44.0,0.000651,1.4e-05,-1.4e-05,0.000142,-0.000142
46.0,0.00033,1.1e-05,-1.1e-05,8.6e-05,-8.6e-05
48.0,0.000149,7e-06,-7e-06,5.5e-05,-5.5e-05
50.0,7.2e-05,6e-06,-6e-06,3.1e-05,-3.1e-05
52.0,3.3e-05,5e-06,-5e-06,1.8e-05,-1.8e-05
54.0,1.4e-05,3e-06,-3e-06,2.3e-05,-2.3e-05
56.0,1.1e-05,4e-06,-4e-06,1.2e-05,-1.2e-05

#: EVENT TYPE,B FLAVOUR
#: RE,E+ E- --> CHARGED X
#: SQRT(S) [GeV],91.2,,,,
MULT(P=3),PROB,stat +,stat -,sys +,sys -
2.0,-,0,0,0,0
4.0,9e-06,5e-06,-5e-06,3e-05,-3e-05
6.0,0.000227,2.8e-05,-2.8e-05,8.4e-05,-8.4e-05
8.0,0.001944,8.5e-05,-8.5e-05,0.000458,-0.000458
10.0,0.008961,0.000188,-0.000188,0.001311,-0.001311
12.0,0.026978,0.000324,-0.000324,0.002513,-0.002513
14.0,0.057434,0.000447,-0.000447,0.003302,-0.003302
16.0,0.09283,0.000508,-0.000508,0.003038,-0.003038
18.0,0.121985,0.000507,-0.000507,0.002036,-0.002036
20.0,0.135052,0.000471,-0.000471,0.001561,-0.001561
22.0,0.130966,0.000439,-0.000439,0.001776,-0.001776
24.0,0.115071,0.000421,-0.000421,0.002153,-0.002153
26.0,0.093411,0.000405,-0.000405,0.002126,-0.002126
28.0,0.071269,0.000377,-0.000377,0.001965,-0.001965
30.0,0.051408,0.000338,-0.000338,0.001662,-0.001662
32.0,0.03516,0.000289,-0.000289,0.001356,-0.001356
34.0,0.023016,0.000238,-0.000238,0.001026,-0.001026
36.0,0.014572,0.000192,-0.000192,0.000731,-0.000731
38.0,0.008841,0.00015,-0.00015,0.000501,-0.000501
40.0,0.005114,0.000114,-0.000114,0.000357,-0.000357
42.0,0.002853,8.4e-05,-8.4e-05,0.000214,-0.000214
44.0,0.001503,5.8e-05,-5.8e-05,0.00012,-0.00012
46.0,0.000741,3.8e-05,-3.8e-05,8e-05,-8e-05
48.0,0.000378,2.6e-05,-2.6e-05,6e-05,-6e-05
50.0,0.000165,1.6e-05,-1.6e-05,3.6e-05,-3.6e-05
52.0,6.6e-05,8e-06,-8e-06,2e-05,-2e-05
54.0,3.3e-05,5e-06,-5e-06,1.4e-05,-1.4e-05
56.0,1e-05,3e-06,-3e-06,5e-06,-5e-06

